date,new_cases
2020-02-08,1
2020-02-09,2
2020-02-10,2
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,1
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,2
2020-03-01,3
2020-03-02,15
2020-03-03,17
2020-03-04,17
2020-03-05,18
2020-03-06,22
2020-03-07,24
2020-03-08,25
2020-03-09,31
2020-03-10,31
2020-03-11,37
2020-03-12,54
2020-03-13,74
2020-03-14,98
2020-03-15,140
2020-03-16,172
2020-03-17,183
2020-03-18,208
2020-03-19,251
2020-03-20,311
2020-03-21,369
2020-03-22,412
2020-03-23,489
2020-03-24,572
2020-03-25,667
2020-03-26,835
2020-03-27,967
2020-03-28,1117
2020-03-29,1324
2020-03-30,1252
2020-03-31,1399
