Reported_Date,n,time_points
2020-01-29,1,0
2020-02-06,1,8
2020-02-10,2,12
2020-02-18,1,20
2020-02-24,2,26
2020-03-03,5,34
2020-03-05,8,36
2020-03-06,7,37
2020-03-07,1,38
2020-03-08,4,39
2020-03-09,3,40
2020-03-10,10,41
2020-03-11,16,42
2020-03-12,8,43
2020-03-13,16,44
2020-03-14,28,45
2020-03-15,29,46
2020-03-16,47,47
2020-03-17,50,48
2020-03-18,48,49
2020-03-19,57,50
2020-03-20,63,51
2020-03-21,74,52
2020-03-22,52,53
2020-03-23,54,54
2020-03-24,64,55
2020-03-25,81,56
2020-03-26,68,57
2020-03-27,61,58
2020-03-28,66,59
